Topics,Coherence
10,-2.8628666002633314
11,-2.985646120511385
12,-3.2217820089273386
13,-3.232463074528949
14,-3.3439547014750923
15,-3.1362351124303065
16,-3.417688221220042
17,-2.894612720686185
18,-3.159284596375307
19,-3.6673077635763356
20,-2.869937387172585
21,-3.063005306508988
22,-2.591574711969495
23,-2.786367938392215
24,-3.0589748885569734
25,-3.5116769115134128
26,-3.5146790571979047
27,-3.9710393599747134
28,-4.191838222058158
29,-4.143079275320428
30,-3.992793220782958
